,screen_name,text,retweet_count,sentiment
0,kanyewest,KANYE 2024 https://t.co/Zm2pKcn12t ,32435,2.9531265596014524
1,kanyewest,I VOTED \U0001f1fa\U0001f1f8 https://t.co/hlgIJUST4x ,6677,2.9666187022268753
2,kanyewest,KANYE2020 \U0001f1fa\U0001f1f8 https://t.co/3kd8vrrHZQ ,2512,2.999355207015361
3,kanyewest,\U0001f54a https://t.co/tFqpKyQzkY ,1662,3.026527775123845
4,kanyewest,The first vote of my life         We are here to serve      We pray for every servant leader in the world  \U0001f54a https://t.co/UWSrKslCt1 ,3512,4.728500210009579
5,kanyewest,KEEP BELIEVING KANYE 2020    Thank you Jesus Christ https://t.co/OgFDGOCAOp ,2089,3.4498595132431
6,kanyewest,Favs https://t.co/0oO13dEviF ,1460,2.8523516585531485
7,kanyewest,We will heal. We will cure. ,3970,4.270421286845389
8,kanyewest,"God is so good \U0001f60a Today I am voting for the first time in my life for the President of the United States, and it^s f\u2026 https://t.co/RDmZihHIfo ",18650,4.408062576568856
9,kanyewest,I channel Will Ferrel when I\u2019m at the daddy daughter dances ,2972,3.120241576216359
10,kanyewest,Life is the ultimate gift ,19122,4.7978634119004475
11,kanyewest,So many of us need so much less than we have especially when so many of us are in need ,8271,3.631168485758115
12,kanyewest,I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented\u2026 https://t.co/HGvnOxW4ng ,7469,1.6602547572680908
13,kanyewest,I was just speaking with someone that told me their life story and they used to be homeless      We must and will c\u2026 https://t.co/sjLvlpHqgS ,2642,3.8042583602665214
14,kanyewest,We as a people will heal. We will insure the well being of each other ,2488,4.181522188637883
15,kanyewest,There are people sleeping in parking lots ,4075,2.6239136928504982
16,kanyewest,We will cure hunger ,4057,4.337847679429721
17,kanyewest,The Weekend as The Nutty Professor was hands down the best costume this Halloween \u26f7 https://t.co/6he1adovRY ,18145,4.42813597451973
18,kanyewest,Praise God. Thank you so much #DoveAwards       God continues to send encouragement      Good is winning     Things\u2026 https://t.co/EUxCLWkcXm ,1151,4.6165111787094
19,kanyewest,How it\u2019s going \U0001f1fa\U0001f1f8 https://t.co/ayol8Sf0OR ,3508,3.568731976757104
20,kanyewest,How the day started \U0001f643 https://t.co/UyQUWqd2mT ,3495,3.599773940872251
21,kanyewest,THE ROCK IS STILL ALIVE https://t.co/gvChkbcsQj ,4015,3.938734546272124
22,kanyewest,RT @SheckJesus: New Sheck Wes snippet titled \u2018RICH ONEDAY\u2019 https://t.co/YLgCYWZVIu ,1675,2.7461509981074865
23,kanyewest,2020 VISION \U0001f1fa\U0001f1f8 https://t.co/Usl1fppN4r ,4435,3.569004362908367
24,kanyewest,Dear Future started as an op-ed and turned into a VISION PRAYER \U0001f54a https://t.co/hN8Zhz5EUp ,790,3.829393383606539
25,kanyewest,"DEAR FUTURE, I STILL BELIEVE IN YOU      PRINTED IN THE NEW YORK TIMES THIS MORNING     https://t.co/3hGgcjHzRE https://t.co/7tlMR2wa0q ",902,3.7861718887832927
26,kanyewest,https://t.co/3hGgcjHzRE https://t.co/l1BJySj4TK ,2234,2.691235171302904
27,kanyewest,EMPATHY IS THE GLUE ,12737,3.923056911179087
28,kanyewest,NAH NAH NAH REMIX DABABY &amp; 2CHAINZ https://t.co/I0gaZJ0ft7 ,19438,2.7956214507110153
29,kanyewest,"DEAR FUTURE, I STILL BELIEVE IN YOU     YEEZY CHRISTIAN ACADEMY https://t.co/GIlTHSCLJU ",3338,4.191830981584628
30,kanyewest,We will heal https://t.co/pliy0PJQ9j ,6836,4.055673970248744
31,kanyewest,EVERYDAY    JOEL\u2019S NEW SERMONS ARE SUPER UPLIFTING AND INSPIRING      PRAISE GOD FOR THE MOTIVATION        JESUS ST\u2026 https://t.co/hAxwGtsvMm ,709,4.587212827077663
32,kanyewest,Halloween coming \U0001f480 https://t.co/4JaQA5YfYn ,1674,3.242340771861906
33,kanyewest,\U0001f914 I was at 31 million followers 4 weeks ago and now I\u2019ve been held at 30.9 million followers for the last 4 weeks \U0001f914\u2026 https://t.co/GdA8OXqDqd ,2499,1.9049408987480068
34,kanyewest,"Just to be CLEAR: WE ARE IN ENGAGED WITH HAITI\u2019s GOVERNMENT  to make a transformational INVESTMENT to bring  JOBS,\u2026 https://t.co/X6c8W7wkw0 ",4335,3.1018739835806057
35,kanyewest,Some Monday morning joy at YEEZY CHRISTIAN ACADEMY https://t.co/W23fMAazaS ,1479,3.6931984311797956
36,kanyewest,https://t.co/rqKBrfNCME ,5744,2.922473005678552
37,kanyewest,WRITE IN KANYE WEST    THERE IT IS https://t.co/HiJPrUIY9e ,2181,2.8092023002569695
38,kanyewest,HOW TO WRITE IN KANYE WEST https://t.co/lY4BVdTmdm ,6410,3.7995670949871085
39,kanyewest,GOD IS LOVE     LEADING WITH LIGHT          https://t.co/TlwzNXRTkL https://t.co/gWMLYLLiE1 ,1733,4.175377580628898
40,kanyewest,Been doing empty stadiums    Happy 40th birthday!!!  I love you so much https://t.co/dCgHhzP2J8 ,12370,4.823381812037469
41,kanyewest,VOTE KANYE https://t.co/sXrotfOHE3 ,7318,2.316115088197256
42,kanyewest,OUR BEAUTIFUL LIGHT CLEAR REALITY https://t.co/L0TCuSoSr4 ,4830,4.449798198641647
43,kanyewest,DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE.   I HAD TO GIVE\u2026 https://t.co/nA3WSAYjix ,14481,4.295318213835641
44,kanyewest,RT @Maha_Sattva: If you believe in me and think that @kanyewest should let me give him this painting; please retweet this. I am 100% determ\u2026 ,1691,2.8671336012330864
45,kanyewest,Had to tweet the new ideas \U0001f648 https://t.co/rO5eyNt9wp ,1445,2.294814041618384
46,kanyewest,Food tasting at YCA    new menu going yaezeeeeeeeer https://t.co/qI3tfzjMwJ ,517,3.5465866044026493
47,kanyewest,GOD SAVE AMERICA https://t.co/1zDEZA3GhO ,646,3.0938446904676935
48,kanyewest,The forces that our for you are greater than the forces coming against you - Joel Olsteen ,2357,3.499684515474624
49,kanyewest,\U0001f440 https://t.co/WBO5Bg1Da0 ,6818,3.020571599329921
50,kanyewest,"Pro-\u201cLIFE\u201d- eration, redemption, reparation, (attaching new tissue organically, rebuilding\nMaturation:\n     -  the\u2026 https://t.co/aEfrbcbuwS ",742,3.6583329457623273
51,kanyewest,"Stages of Healing:\n\nThe Wound: \n- acknowledging adverse impacts (societal, mental, physical, economic)\nInflammation\u2026 https://t.co/ipon3Tda3K ",1197,2.690911434676395
52,kanyewest,H.E.A.L \nHOLDING EVERYBODY ACCOUNTABLE for LOVE ! -M1 ,3213,4.314068133466348
53,kanyewest,I spoke to Dave Chapelle for two hours this morning.    He is our modern day Socrates ,18114,3.7135707558291844
54,kanyewest,RT @Adele: https://t.co/hjhNsOTA75 ,71685,2.7840322104538995
55,kanyewest,Jaden Smith Cool Tape Volume 3     I was driving this morning and saw this poster           I\u2019m so proud of this ma\u2026 https://t.co/AiyEucTelU ,6713,4.391772643137006
