,tweet_id,user_id,screen_name,created_at,text,geo_lat,geo_long,place_type,place_name,lang,source,retweet_count,favorite_count,retweet_status_id,reply_to_status_id,reply_to_user_id,reply_to_screen_name
0,1323914087340781569,169686021,kanyewest,2020-11-04 09:04:50,KANYE 2024 https://t.co/Zm2pKcn12t ,,,,,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",32435,295645,,,,
1,1323730046125699072,169686021,kanyewest,2020-11-03 20:53:31,I VOTED \U0001f1fa\U0001f1f8 https://t.co/hlgIJUST4x ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",6677,167834,,,,
2,1323729643828989953,169686021,kanyewest,2020-11-03 20:51:55,KANYE2020 \U0001f1fa\U0001f1f8 https://t.co/3kd8vrrHZQ ,,,,,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2512,60633,,,,
3,1323729368594575361,169686021,kanyewest,2020-11-03 20:50:49,\U0001f54a https://t.co/tFqpKyQzkY ,,,,,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",1662,53035,,,,
4,1323727338387902465,169686021,kanyewest,2020-11-03 20:42:45,The first vote of my life         We are here to serve      We pray for every servant leader in the world  \U0001f54a https://t.co/UWSrKslCt1 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",3512,66517,,,,
5,1323726544997474304,169686021,kanyewest,2020-11-03 20:39:36,KEEP BELIEVING KANYE 2020    Thank you Jesus Christ https://t.co/OgFDGOCAOp ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2089,34140,,,,
6,1323643421601378306,169686021,kanyewest,2020-11-03 15:09:18,Favs https://t.co/0oO13dEviF ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",1460,32878,,,,
7,1323641361216626691,169686021,kanyewest,2020-11-03 15:01:07,We will heal. We will cure. ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",3970,34934,,,,
8,1323641120778145792,169686021,kanyewest,2020-11-03 15:00:09,"God is so good \U0001f60a Today I am voting for the first time in my life for the President of the United States, and it^s f\u2026 https://t.co/RDmZihHIfo ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",18650,174210,,,,
9,1323640310321176577,169686021,kanyewest,2020-11-03 14:56:56,I channel Will Ferrel when I\u2019m at the daddy daughter dances ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2972,53201,,,,
10,1323638153907900416,169686021,kanyewest,2020-11-03 14:48:22,Life is the ultimate gift ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",19122,108467,,,,
11,1323479840121450497,169686021,kanyewest,2020-11-03 04:19:17,So many of us need so much less than we have especially when so many of us are in need ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",8271,83274,,,,
12,1323479605970259972,169686021,kanyewest,2020-11-03 04:18:21,I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented\u2026 https://t.co/HGvnOxW4ng ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",7469,54221,,,,
13,1323479125814771714,169686021,kanyewest,2020-11-03 04:16:27,I was just speaking with someone that told me their life story and they used to be homeless      We must and will c\u2026 https://t.co/sjLvlpHqgS ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2642,40414,,,,
14,1323477087194210305,169686021,kanyewest,2020-11-03 04:08:21,We as a people will heal. We will insure the well being of each other ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2488,28030,,,,
15,1323476950489341953,169686021,kanyewest,2020-11-03 04:07:48,There are people sleeping in parking lots ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",4075,57949,,,,
16,1323476766439038976,169686021,kanyewest,2020-11-03 04:07:04,We will cure hunger ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",4057,65332,,,,
17,1323077633802817537,169686021,kanyewest,2020-11-02 01:41:04,The Weekend as The Nutty Professor was hands down the best costume this Halloween \u26f7 https://t.co/6he1adovRY ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",18145,245921,,,,
18,1322353987404800000,169686021,kanyewest,2020-10-31 01:45:33,Praise God. Thank you so much #DoveAwards       God continues to send encouragement      Good is winning     Things\u2026 https://t.co/EUxCLWkcXm ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",1151,19312,,,,
19,1322324911738642432,169686021,kanyewest,2020-10-30 23:50:01,How it\u2019s going \U0001f1fa\U0001f1f8 https://t.co/ayol8Sf0OR ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",3508,64522,,,,
20,1322324767571992576,169686021,kanyewest,2020-10-30 23:49:26,How the day started \U0001f643 https://t.co/UyQUWqd2mT ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",3495,60368,,,,
21,1322298679919693824,169686021,kanyewest,2020-10-30 22:05:47,THE ROCK IS STILL ALIVE https://t.co/gvChkbcsQj ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",4015,71762,,,,
22,1322285259874992128,169686021,kanyewest,2020-10-30 21:12:27,RT @SheckJesus: New Sheck Wes snippet titled \u2018RICH ONEDAY\u2019 https://t.co/YLgCYWZVIu ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",1675,0,1.322240596149457e+18,,,
23,1322284560361558016,169686021,kanyewest,2020-10-30 21:09:40,2020 VISION \U0001f1fa\U0001f1f8 https://t.co/Usl1fppN4r ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",4435,76293,,,,
24,1322282733683372033,169686021,kanyewest,2020-10-30 21:02:25,Dear Future started as an op-ed and turned into a VISION PRAYER \U0001f54a https://t.co/hN8Zhz5EUp ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",790,19954,,,,
25,1322252393036197889,169686021,kanyewest,2020-10-30 19:01:51,"DEAR FUTURE, I STILL BELIEVE IN YOU      PRINTED IN THE NEW YORK TIMES THIS MORNING     https://t.co/3hGgcjHzRE https://t.co/7tlMR2wa0q ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",902,16183,,,,
26,1322242112688058368,169686021,kanyewest,2020-10-30 18:21:00,https://t.co/3hGgcjHzRE https://t.co/l1BJySj4TK ,,,,,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",2234,21048,,,,
27,1321928365570359297,169686021,kanyewest,2020-10-29 21:34:17,EMPATHY IS THE GLUE ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",12737,93974,,,,
28,1321875427065913345,169686021,kanyewest,2020-10-29 18:03:55,NAH NAH NAH REMIX DABABY &amp; 2CHAINZ https://t.co/I0gaZJ0ft7 ,,,,,ht,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",19438,126224,,,,
29,1321682274149048320,169686021,kanyewest,2020-10-29 05:16:24,"DEAR FUTURE, I STILL BELIEVE IN YOU     YEEZY CHRISTIAN ACADEMY https://t.co/GIlTHSCLJU ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",3338,39486,,,,
